product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,Đùi góc tư gà đông lạnh xuất xứ Mỹ,"48,000 ₫",/ Ký,https://online.mmvietnam.com/dui-ga-goc-tu-my-dong-lanh-2-10-125730.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/2/125730.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nạc vai heo đông lạnh nhập khẩu,"107,000 ₫",/ Ký,https://online.mmvietnam.com/nac-vai-heo-dong-lanh-nhap-khau-11-10-224727.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/2/224727.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Đùi tỏi Gà đông lạnh- nhập khẩu,"49,000 ₫",/ Ký,https://online.mmvietnam.com/dui-toi-ga-dong-lanh-nhap-khau-13-10-105835.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/0/105835-1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Sườn non heo đông lạnh nhập khẩu,"119,000 ₫",/ Ký,https://online.mmvietnam.com/suon-non-heo-dong-lanh-nhap-khau-3-10-241394.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/4/241394.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Bắp Cải trắng Đà Lạt,"9,000 ₫",/ Ký,https://online.mmvietnam.com/bap-cai-trang-da-lat-11-10-142227.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/4/142227.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Dưa hấu Hắc Mỹ Nhân loại 1,"21,000 ₫",/ Ký,https://online.mmvietnam.com/dua-hau-hac-my-nhan-loai-1-11-10-148341.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/4/148341.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cánh gà Đông lạnh- nhập khẩu,"79,000 ₫",/ Ký,https://online.mmvietnam.com/canh-ga-dong-lanh-nhap-khau-905223-10-59919.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/5/9/59919.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cà chua Đà Lạt,"25,000 ₫",/ Ký,https://online.mmvietnam.com/ca-chua-da-lat-8-10-141343.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/4/141343.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nạc heo xay,"110,000 ₫",/ Ký,https://online.mmvietnam.com/nac-heo-xay-7-10-225743.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/2/225743.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Ba rọi heo rút sườn đông lạnh nhập khẩu,"119,000 ₫",/ Ký,https://online.mmvietnam.com/ba-roi-heo-rut-suon-dong-lanh-nhap-khau-10-352230.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/352230.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Dưa hấu Hắc Mỹ Nhân,"12,000 ₫",/ Ký,https://online.mmvietnam.com/dua-hau-hac-my-nhan-8-10-107994.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/0/107994.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Phi lê cá tra bè tươi, 60g","115,000 ₫",/ Ký,https://online.mmvietnam.com/ca-tra-be-fillet-tuoi-60g-mieng-tro-len-905177-10-185243.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/8/185243-1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Dưa lưới tròn Taki-ruột Cam (Việt Nam),"29,000 ₫",/ Ký,https://online.mmvietnam.com/dua-luoi-tron-ruot-cam-viet-nam-2-10-163466.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/6/163466.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Xà lách Lolo xanh Đà Lạt,"29,000 ₫",/ Ký,https://online.mmvietnam.com/xa-lach-lolo-xanh-da-lat-1092551-20-76469.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/7/6/76469.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cây sả Đà Lạt, 500g","23,000 ₫",/ Gói,https://online.mmvietnam.com/lemongrass-500g-442573-24425735-20240704.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/4/4/442573.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Dưa leo an toàn,"22,000 ₫",/ Ký,https://online.mmvietnam.com/dua-leo-dua-chuot-1092550-20-182540.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/8/182540.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Phi lê cá tra bè tươi, 120g miếng up","119,000 ₫",/ Ký,https://online.mmvietnam.com/ca-tra-be-fillet-tuoi-120g-tro-len-986303-10-174370.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/7/174370.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Thanh long Miền tây 500g loại 1,"35,000 ₫",/ Ký,https://online.mmvietnam.com/thanh-long-mien-tay-loai-1500g-7-10-36332.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/6/36332.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Cà rốt Đà Lạt,"19,000 ₫",/ Ký,https://online.mmvietnam.com/ca-rot-da-lat-1020408-10-169843.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/6/169843-1.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nạc heo xay Vietgap We Are Fresh loại 1 ,"142,000 ₫",/ Ký,https://online.mmvietnam.com/pork-minced-vg-wrf-114153.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/7/378660.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nạc đùi heo đông lạnh nhập khẩu,"109,000 ₫",/ Ký,https://online.mmvietnam.com/nac-dui-heo-dong-lanh-nhap-khau-1138277-10-330230.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/3/330230.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
